epoch,dice_inner_0,dice_inner_1,dice_inner_2,dice_inner_3,dice_inner_4,f1-score,loss,val_dice_inner_0,val_dice_inner_1,val_dice_inner_2,val_dice_inner_3,val_dice_inner_4,val_f1-score,val_loss
13,0.9984145760536194,0.5064688920974731,0.48411276936531067,0.6449999809265137,0.39802587032318115,0.6064049005508423,0.8642919659614563,0.9975678324699402,0.5304775238037109,0.6724137663841248,0.7128713130950928,0.22498461604118347,0.6276633143424988,0.8801137208938599
14,0.9983652830123901,0.4900025427341461,0.45932018756866455,0.7009999752044678,0.35491496324539185,0.6007208824157715,0.8639295697212219,0.9986936450004578,0.602348268032074,0.707537829875946,0.7029703259468079,0.41183537244796753,0.6846771240234375,0.8966131210327148
15,0.9985871315002441,0.43269312381744385,0.48834922909736633,0.7129999995231628,0.4465937316417694,0.6158456802368164,0.8614110946655273,0.9983245730400085,0.5260834097862244,0.7684321403503418,0.9306930899620056,0.43648815155029297,0.7320045232772827,0.8769999742507935
16,0.9988305568695068,0.47999265789985657,0.5265474319458008,0.765999972820282,0.48344334959983826,0.6509636640548706,0.8607092499732971,0.9979844093322754,0.6166768074035645,0.6670874953269958,0.7821782231330872,0.32942214608192444,0.6786700487136841,0.8907920122146606
17,0.9985310435295105,0.5455037951469421,0.5659672617912292,0.6899999976158142,0.4815247356891632,0.6563055515289307,0.8222596645355225,0.9952017068862915,0.6732673048973083,0.5338340401649475,1.0,0.6126400232315063,0.7629886865615845,0.7917367815971375
18,0.9967321157455444,0.7787849307060242,0.6970729827880859,1.0,0.7865468263626099,0.8518272638320923,0.516679584980011,0.9984998106956482,0.6732673048973083,0.7526178359985352,1.0,0.6534653306007385,0.815570056438446,0.5470882654190063
19,0.9967573285102844,0.7744571566581726,0.7001429796218872,1.0,0.7878413200378418,0.8518394827842712,0.5135589838027954,0.9930126070976257,0.6732673048973083,0.3465346395969391,1.0,0.6534653306007385,0.7332559823989868,0.6256005764007568
20,0.9961032867431641,0.7630000114440918,0.6489999890327454,1.0,0.7829999923706055,0.8382208347320557,0.5212017893791199,0.9930126070976257,0.6732673048973083,0.3465346395969391,1.0,0.6534653306007385,0.7332559823989868,0.6255382895469666
21,0.9961032271385193,0.7630000114440918,0.6489999890327454,1.0,0.7829999923706055,0.8382207751274109,0.5211414098739624,0.9930126070976257,0.6732673048973083,0.3465346395969391,1.0,0.6534653306007385,0.7332559823989868,0.6255173087120056
22,0.9961031675338745,0.7630000114440918,0.6489999890327454,1.0,0.7829999923706055,0.8382206559181213,0.5211138129234314,0.9930126070976257,0.6732673048973083,0.3465346395969391,1.0,0.6534653306007385,0.7332559823989868,0.6255057454109192
23,0.9961025714874268,0.7630000114440918,0.6489999890327454,1.0,0.7829999923706055,0.8382208347320557,0.5210994482040405,0.9930126070976257,0.6732673048973083,0.3465346395969391,1.0,0.6534653306007385,0.7332559823989868,0.6254972219467163
